SAMPLE_ID,CAN_CBFB,CAN_CDH1,CAN_CDKN1B,CAN_ERBB2,CAN_FOXA1,CAN_MAP2K4,CAN_MAP3K1,CAN_NCOR1,CAN_PIK3CA,CAN_PTEN,CAN_RUNX1,CAN_SF3B1,CAN_GATA3,CAN_FAM86B1,CLASS
1,0.333333333,0.25,0.5,0,0.333333333,0.25,0.666666667,0.25,0.333333333,0.5,0.5,0.333333333,0.333333333,0.666666667,2
2,0.333333333,0.25,0.5,0.333333333,0.333333333,0.5,0.666666667,0.5,0.333333333,0.5,0.5,0.333333333,0.333333333,0.666666667,1
3,0.333333333,0.25,0.5,0.333333333,0.666666667,0.25,0.666666667,0.5,0.333333333,0.5,0.75,0.333333333,0.333333333,0.666666667,1
4,0.666666667,0.5,0.5,0,0.333333333,0.25,0.666666667,0.75,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,1
5,0.333333333,0.25,0.75,0.333333333,0.666666667,0.5,1,0.5,0.333333333,0.5,0.25,0,0.333333333,0.333333333,2
6,0.333333333,0.25,0.5,0.666666667,0.333333333,0.75,1,0.75,0.333333333,0.25,0.5,0,0,0.333333333,2
7,1,0.75,0.75,0,0.666666667,0.25,1,0.25,0.666666667,0.75,0.25,0,0,0.333333333,2
8,0.333333333,0.25,0.5,0.333333333,0.333333333,0.25,0.666666667,0.25,0.333333333,0.5,0.25,0.666666667,0.333333333,0.666666667,2
9,0.333333333,0.25,0.5,0.333333333,0.333333333,0.25,0.666666667,0.25,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,2
10,0.666666667,0.5,0.5,0.333333333,0.333333333,0.5,0.666666667,0.5,0.666666667,0.5,0.5,0.333333333,0.333333333,0.666666667,2
11,0.666666667,0.5,0.75,0.666666667,0,0.25,0.333333333,0.25,0.666666667,0.25,0.75,0,0.666666667,1,2
12,0.333333333,0.25,0.5,0.666666667,0.333333333,0.25,1,0.25,0.333333333,0.5,0.5,0.333333333,0.333333333,1,1
13,0.333333333,0.25,0.5,0,0.333333333,0.25,0.666666667,0.25,0.333333333,0.25,0.5,0.333333333,0.333333333,0.666666667,2
14,0.666666667,0.5,0.5,0.333333333,0.333333333,0.5,0.666666667,0.5,0.333333333,0.5,0.5,0.333333333,0.333333333,0.666666667,1
15,0.666666667,0.5,0.5,0.333333333,0.333333333,0.25,0.666666667,0.5,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,2
16,1,0.75,0.25,0.666666667,0,0.25,1,0.75,0.666666667,0.25,0.25,0.666666667,0.666666667,0.333333333,2
