SAMPLE_ID,GE_CBFB,GE_CDH1,GE_CDKN1B,GE_ERBB2,GE_FOXA1,GE_MAP2K4,GE_MAP3K1,GE_NCOR1,GE_PIK3CA,GE_PTEN,GE_RUNX1,GE_SF3B1,GE_GATA3,GE_FAM86B1,CLASS
1,0.089660887,0.007616405,0.017021303,0.027251536,0.675474227,0.120441371,0.104393878,0.138547667,0.030971041,0.193678049,0.075810735,0.211225799,0.18681256,0.152638296,2
2,0.142717802,0.025127521,0.534844939,0.060432518,0.405584267,0.164410193,0.167497798,0.347175207,0.112862782,0.242908716,0.317482975,0.16981996,0.280684015,0.372594942,1
3,0.092380923,0.226401732,0.370822436,0.03597445,0.620960525,0.117204527,0.161614094,0.407367975,0.134331596,0.474049659,0.384662439,0.183186226,0.257800642,0.217875158,1
4,0.171568296,0.627462973,0.225167999,0.020773469,0.396712226,0.101516657,0.077670235,0.455305137,0.137946846,0.284994235,0.292599577,0.258338835,0.428767489,0.159386454,1
5,0.197119964,0.268059107,0.406444655,0.028434806,0.498294815,0.12906659,0.0682414,0.29081116,0.109801186,0.21635038,0.159145741,0.088828727,0.280695493,0.119734894,2
6,0.106720708,0.103697617,0.096777103,0.019772986,0.331592347,0.190680371,0.198741012,0.401924518,0.125628268,0.194374104,0.07837563,0.140091436,0.307207973,0.099135511,2
7,0.269058221,0.285671856,0.644887784,0.011099459,0.82412926,0.204937774,0.063797076,0.576109854,0.314912351,0.311841514,0.037381287,0.243351838,0.573856638,0.109053243,2
8,0.08487356,0.0135814,0.260268203,0.022064456,0.639631873,0.176248768,0.464106383,0.337387794,0.234024901,0.307004964,0.135754374,0.44435544,0.565752118,0.43194609,2
9,0.170894958,0.138403895,0.632595667,0.033881485,0.475873585,0.072229883,0.098215955,0.249993478,0.116676071,0.297135804,0.155843893,0.165068729,0.479646404,0.040842937,2
10,0.248063745,0.298620631,0.153303243,0.034898486,0.684816011,0.423032659,0.414109016,0.410611501,0.168822117,0.27008817,0.333627321,0.252173538,0.306901929,0.247323708,2
11,0.43243901,0.36374019,0.178971356,0.724501359,0.00380385,0.180036759,0.083650294,0.353596581,0.229479819,0.288329765,0.235862219,0.213840752,0.017532712,0.224926578,2
12,0.132563251,0.158102565,0.387701056,0.077297269,0.375382087,0.049971965,0.846141691,0.310028689,0.175676303,0.248127841,0.952755401,0.272945101,0.261713864,0.220847219,1
13,0.185199256,0.019607009,0.360513305,0.024476234,0.530855045,0.087782705,0.234957771,0.177762115,0.14919773,0.176512145,0.287156335,0.121491189,0.312164069,0.423910489,2
14,0.239365167,0.263635612,0.372347324,0.022233684,0.349525061,0.206603856,0.162598954,0.304596376,0.122394286,0.392210579,0.406353087,0.208894405,0.125871462,0.216976899,1
15,0.305951859,0.14099347,0.719857703,0.014115326,0.614190855,0.128418268,1,0.600041202,0.127315148,0.469808241,0.292468289,0.271431545,0.37469981,0.19938078,2
16,0.169486111,0.39105468,0.260612431,0.020537147,0.223517925,0.01451797,0.220949355,0.242485246,0.109213194,0.286783118,0.34990866,0.172839332,0.146123232,0.002557055,2
17,0.377789771,0.486051679,0.179983111,0.026595708,0.443736404,0.187483772,0.094736517,0.302140202,0.134771578,0.188585943,0.105618761,0.136909048,0.282492275,0.292358056,2
18,0.196326404,0.287887324,0.159223969,0.019568937,0.22537243,0.194683993,0.252031639,0.243521348,0.421200931,0.206864507,0.453964164,0.166845453,0.221756501,0.017668208,2
19,0.23861284,0.298902863,0.064379196,0.025271047,0.572424651,0.282177638,0.093111147,0.182172484,0.051697087,0.292873706,0.168804483,0.14539658,0.21292122,0.277635472,2
20,0.282226692,0.696285485,0.232748652,0.046992475,0.699804482,0.113291314,0.100272696,0.248062154,0.133031765,0.312249556,0.210823877,0.118092968,0.263990486,0.074670112,2
21,0.289520863,0.187144551,0.186068575,0.018047716,0.487111639,0.132262818,0.0628244,0.165784019,0.119875448,0.077501949,0.171115337,0.22107573,0.030149737,0.171371533,2
22,0.223735474,0.439772358,0.205046727,0.013698178,0.331017426,0.178400671,0.071914716,0.352643685,0.121813221,0.25127159,0.170770735,0.12038111,0.621492871,0.088811534,1
23,0.374617628,0.224076252,0.322278041,0.755239722,0.435037602,0.170402955,0.198855929,0.380575024,0.1196659,0.253828551,0.144117522,0.182765366,0.129800124,0.066489413,2
24,0.363588555,0.943079092,0.057333647,0.373639484,0.698539717,0.153233101,0.257154372,0.370993278,0.186495917,0.203372991,0.114963138,0.325121315,0.182401909,0.025677986,2
25,0.168774302,0.01117941,0.19573864,0.032991316,0.57315066,0.179947741,0.334559963,0.355630738,0.051675136,0.283135217,0.140559063,0.331145072,0.244834024,0.108152064,2
26,0.159128132,0.021100848,0.256567016,0.026717637,0.182328963,0.179694477,0.101056638,0.255008061,0.099334255,0.252023694,0.439937713,0.076276846,0.197350006,0.156347685,2
27,0.220542937,0.200409277,0.171312345,0.05484381,0.253722235,0.089345699,0.068283135,0.195725092,1,0.320315706,0.187278487,0.137559036,0.021749422,0.066097001,2
28,0.28945709,0.420511494,0.242312574,0.161008596,0.527463976,0.125926309,0.162664917,0.087591447,0.116792859,0.140579992,0.160292414,0.289005341,0.176606271,0.256716534,2
29,0.247497188,0.158314921,0.093442299,0.268901472,0.35012615,0.095090482,0.104502792,0.198559168,0.114844191,0.265278168,0.260746926,0.185290614,0.08698034,0.068010642,2
30,0.223536265,0.141403462,0.421764422,0.079277236,0.366406384,0.158202133,0.067789982,0.161404929,0.171200218,0.189318256,0.174097146,0.102547331,0.338502854,0.152064665,2
31,0.407758163,0.070555437,0.128621395,0.00300293,0.051659074,0.101165737,0.08558744,0.242789687,0.29171755,0.311061919,0.409903314,0.351718724,0.020827183,0.034630444,1
32,0.291323912,0.144969491,0.16971867,0.020905158,0.001852973,0.155515064,0.097497241,0.256596871,0.214544768,0.479046572,0.184053243,0.20779109,0.065206289,0.205110943,2
33,0.239641935,0.203770715,0.310185837,0.04605382,0.477968874,0.121536268,0.255828601,0.228952367,0.189327826,0.377728312,0.39384865,0.380404189,0.206168803,0.049269412,2
34,0.162047477,0.097215769,0.224575438,0.032899432,0.667920397,0.413299345,0.806567898,0.434729599,0.200471486,0.423930528,0.349157032,0.405049095,0.240214745,0.089339975,2
35,0.175812814,0.152214387,0.520221905,0.034781489,0.472414907,0.26715913,0.221163028,1,0.219484678,0.286114007,0.299826643,0.283576165,0.232454524,0.026209809,1
36,0.07153641,0.005492296,0.391320606,0.058050676,0.445124678,0.197108752,0.13280825,0.030008975,0.017944353,0.168324173,0.338421621,0.053224045,0.46769487,0.063498907,2
37,0.379514893,0.07957871,0.120911178,0.021761016,0.001238359,0.065650789,0.034986185,0.177503162,0.153736445,0.159620261,0.302697685,0.377389587,0.009123856,0.125258015,2
38,0.323152518,0.086045823,0.134994659,0.034801105,0.0000317,0.079380218,0,0.098511676,0.082667756,0.123348274,0.061140604,0.049141128,0.015664198,0.079261313,2
39,0.114465308,0.160487394,0.028368932,0.001763479,0.743235298,0.148644446,0.022505403,0.215586281,0.03931516,0.168778021,0.072794198,0.051078203,0.763726682,0.210908429,2
40,0.261559046,0.391833531,0.352786493,0.01448996,0.453846234,0.115141866,0.187189041,0.261627278,0.128884653,0.361254127,0.147379302,0.187397819,0.391097967,0.11580217,2
41,0.178444417,0.196203222,0.377486259,0.017145298,0.752562535,0.380043095,0.054716484,0.272305486,0.101563759,0.341541875,0.242067023,0.18546536,0.483842754,0.363878884,2
