SAMPLE_ID,MTERFD2,KCNK5,AP3M2,PODXL2,ZNF683,SNRPD3,HAPLN3,NMI,ST7L,HIST1H2BC,C10orf35,BBS2,FAM98A,UFD1L,USF1,PLEKHG3,APOL3,ORC6L,MTAP,DBF4,HIST1H2BN,RNF148,KIF24,CLASS
TCGA-2F-A9KO-01,0.196338645,0.125867906,0.13904563,0.102141207,0.082161469,0.072820534,0.266252977,0.360762401,0.123361786,0.314773998,0.204502926,0.25027687,0.164424073,0.105315516,0.103504857,0.102265384,0.223004606,0.17677243,0.007824587,0.227789078,0.046398523,0.00975929,0.148513882,2
TCGA-2F-A9KP-01,0.115080292,0.073900426,0.519440238,0.081616446,0.000775622,0.152067884,0.005404555,0.252206229,0.227086964,0.014990446,0.227978499,0.547266648,0.290152013,0.103832944,0.125151448,0.133559597,0.024784369,0.370794528,0.058370393,0.186399137,0.011037845,0.020894353,0.33778546,1
TCGA-2F-A9KQ-01,0.154245347,0.167457838,0.21405348,0.040148221,0.000691265,0.155979524,0.007098336,0.111188797,0.289723871,0.037003309,0.176683825,0.441875383,0.142208786,0.168408019,0.031898824,0.150354186,0.023276217,0.258568079,0.025280746,0.131298694,0.039349941,0.00775923,0.073065957,1
TCGA-2F-A9KR-01,0.246338685,0.424041845,0.270651965,0.171600907,0.003717299,0.206338348,0.043685121,0.240870194,0.2952138,0.145175929,0.259814124,0.84245329,0.20194451,0.149003714,0.08640094,0.159622347,0.093795235,0.228221481,0.055846509,0.20044441,0.090687299,0.063581832,0.105653378,1
TCGA-2F-A9KT-01,0.063994004,0.028907756,0.312156068,0.137772627,0.001053634,0.201809487,0.165100094,0.226780437,0.052924274,0.013944029,0.500876542,0.175921388,0.17787819,0.394222606,0.108104909,0.322120372,0.006224601,0.237657996,0.084263001,0.255525769,0.005997687,0.009461373,0.112631192,2
TCGA-2F-A9KW-01,0.460216878,0.128672486,0.049496648,0.025710078,0.000390365,0.294675567,0.026874225,0.152760533,0.110114349,0.075928746,0.436994432,0.163734593,0.329226161,0.311211665,0.096889782,0.127158223,0.036612088,0.548252043,0.16016808,0.477612528,0.05833183,0.035055449,0.145037395,1
TCGA-4Z-AA7M-01,0.211361455,0.001876134,0.181592935,0.207005294,0.000203048,0.099141162,0.021383007,0.133800319,0.263454428,0.013404575,0.469510001,0.333877662,0.247228295,0.138377057,0.128905929,0.089459202,0.02675658,0.33016097,0.071625516,0.372449111,0.011557192,0.027348104,0.253429497,2
TCGA-4Z-AA7N-01,0.703204494,0.075947002,0.3453873,0.091474874,0.013439212,0.084732904,0.115722088,0.144406502,0.207323552,0.074874484,0.150258441,0.340428431,0.180148597,0.09534134,0.050859824,0.112669107,0.13045158,0.094562245,0.054939637,0.164094324,0.038250772,0,0.07578954,1
TCGA-4Z-AA7O-01,0.294518073,0.167352868,0.462865594,0.026340413,0.006197337,0.159997891,0.080443859,0.296289493,0.255794718,0.016024737,0.139485319,0.453422986,0.061359717,0.104210598,0.08135319,0.424593673,0.090574409,0.230814272,0.002558687,0.173093382,0.021166435,0.04452017,0.060351881,1
TCGA-4Z-AA7Q-01,0.303606784,0.100692973,0.149332153,0.124071447,0.125655516,0.110465886,0.340039606,0.441314978,0.094192726,0.027501319,0.224016101,0.171503515,0.301550327,0.187670236,0.244741461,0.217743692,0.18266554,0.095978791,0.139101841,0.339139794,0.007026302,0.110840159,0.136800996,1
TCGA-4Z-AA7R-01,0.033370496,0.126609761,0.279167756,0.382104009,0,0.190034706,0.04636772,0.325788386,0.06670678,0.039014514,0.286824733,0.454466471,0.430451632,0.226652717,0.132338037,0.152536404,0.007400533,0.542629903,0.145629995,0.389787226,0.05193893,0.01489752,0.687368146,2
TCGA-4Z-AA7S-01,0.270860905,0.068555375,0.241469001,0.053475713,0.000341159,0.227784214,0.008954284,0.038439997,0.118243156,0.095625688,0.178972859,0.418578406,0.013833,0.161292421,0.03804038,0.234391184,0.034205559,0.230468394,0.078288472,0.137792934,0.02427562,0.007658808,0.162782973,1
TCGA-4Z-AA7W-01,0.161704202,0.084178725,0.014181887,0.090797029,1,0.39855133,0.860481671,0.739351781,0.087106375,0.53571732,0.628865156,0.072188707,0.17281388,0.264921021,0.446797947,0.170376032,0.273872489,0.182318787,0.092974821,0.339379144,0.333781949,0.230361751,0.131392865,2
TCGA-4Z-AA7Y-01,0.285278988,0.155692803,0.256461035,0.006189189,0.000855358,0.115692979,0.010045719,0.180153326,0.092150413,0.0238918,0.086357049,0.601413448,0.133156945,0.109120098,0.03251609,0.462131857,0.018429365,0.169636588,0.001823167,0.168234829,0.019476303,0,0.052560008,1
TCGA-4Z-AA80-01,0.190490242,0.367176444,0.116585529,0.124309002,0.001263615,0.089917562,0.008052307,0.124053677,0.065566526,0.021035553,0.635830362,0.323313314,0.561611775,0.11941958,0.209165616,0.079456765,0.020675711,0.623164457,0.070123502,0.343476709,0.048810117,0.032419387,0.243256722,2
TCGA-4Z-AA81-01,0.12049536,0.292783433,0.246109157,0.009369574,0.085439235,0.084356142,0.12573861,0.385022638,0.151282185,0.102643271,0.430271661,0.200124074,0.230638413,0.157254142,0.057326924,0.150418844,0.183715854,0.208142412,0.164674209,0.209002938,0.005845437,0,0.175768639,1
TCGA-4Z-AA82-01,0.277176598,0.026766068,0.245149394,0.134178928,0.000183105,0.094517147,0.029889431,0.433443698,0.19526129,0.101142277,0.178634578,0.187435864,0.201172282,0.189995986,0.052461122,0.528483395,0.143560627,0.377067618,0.039728847,0.2946733,0.041688328,0.032881325,0.286506393,1
