SAMPLE_ID,USP29_NM_020903_cg07499372,SPO11_NM_198265_NM_012444_cg13888886,RARA_NM_000964_cg00236832,DNASE1L2_NM_001374_cg12619509,TMEM55A_NM_018710_cg06688396,ZIM2_NM_001146327_NM_001146326_NM_015363_cg16519742,CYB5A_NM_001914_NM_148923_cg10878998,GNG11_NM_004126_cg22983529,NCALD_NM_001040630_NM_001040627_NM_001040626_NM_001040625_NM_001040624_NM_001040629_NM_001040628_NM_032041_cg17084151,BCAM_NM_001013257_NM_005581_cg08319238,RARB_NM_016152_NM_000965_cg27486427,PCDHB2_NM_018936_cg02260587,MAP3K6_NM_004672_cg20651453,GABRQ_NM_018558_cg11714014,GDF15_NM_004864_cg16929104,F2RL2_IQGAP2_NM_006633_NM_004101_cg00415993,CALD1_NM_033138_NM_004342_NM_033157_cg14009688,ENTPD3_NM_001248_cg17264618,PAMR1_NM_015430_NM_001001991_cg14542839,FLJ34503_NR_027060_cg19815376,LRRN4CL_NM_203422_cg15538427,TGFB1I1_NM_015927_NM_001164719_NM_001042454_cg10995380,FCGRT_NM_004107_NM_001136019_cg15528736,AP1G2_JPH4_NM_001146028_NM_032452_NM_003917_cg25832796,NRIP2_NM_031474_cg05194726,TSSK2_DGCR14_NM_053006_NM_022719_cg25759381,KRTAP1-1_NM_030967_cg24414383,TFPI_NM_006287_NM_001032281_cg16478145,COL3A1_NM_000090_cg20770175,FBXO44_FBXO2_NM_183412_NM_012168_cg15746187,EMP2_NM_001424_cg00451635,GPR64_NM_001079858_NM_001079859_NM_005756_NM_001079860_cg17119559,FBXO44_FBXO2_NM_183412_NM_183413_NM_033182_NM_012168_NM_001014765_cg06848073,STMN4_NM_030795_cg02130905,SULT1C2_NM_001056_NM_176825_cg23163573,DISP1_NM_032890_cg10942056,KBTBD10_NM_006063_cg05389024,RXFP4_NM_181885_cg08403419,PRELP_NM_201348_NM_002725_cg05955301,CLDN9_NM_020982_cg10282491,PAM_NM_138821_NM_000919_NM_138766_NM_138822_cg20131596,EFS_NM_032459_NM_005864_cg07197059,CLASS
TCGA-2F-A9KO-01,0.78503556,0.659320088,0.137021521,0.652351911,0.307375567,0.413414983,0.252614904,0.13360026,0.227217951,0.457248524,0.220867831,0.471018281,0.619980266,0.099299303,0.450917522,0.545536581,0.387300823,0.327248018,0.104462828,0.504259478,0.398030852,0.267038137,0.584908103,0.505202049,0.214918216,0.851884159,0.931233271,0.947215012,0.776236454,0.602014862,0.581748962,0.551133866,0.644192276,0.53467314,0.432767983,0.763496748,0.569375692,0.577228633,0.721136286,0.456028795,0.563656808,0.405435093,2
TCGA-2F-A9KP-01,0.678238445,0.754912197,0.026737901,0.756900702,0.142974051,0.822147243,0.13229832,0.050134068,0.020943918,0.235501337,0.658191232,0.637852727,0.055948444,0.472382189,0.173008612,0.173329035,0.110294595,0.029265239,0.225160821,0.503728726,0.368626716,0.030296728,0.603196808,0.19011561,0.333232884,0.681662644,0.876622771,0.76144586,0.152135679,0.32548967,0.319024938,0.27034107,0.315182242,0.35861257,0.320403524,0.515221567,0.543290126,0.330336813,0.28658599,0.529675668,0.082529095,0.149525306,1
TCGA-2F-A9KQ-01,0.389645053,0.506848998,0.011338191,0.910843124,0.077398879,0.224978159,0.046867234,0.05629834,0.01208581,0.137483232,0.041864514,0.791811684,0.077820411,0.028837947,0.031792596,0,0.017939187,0.022549498,0.115181259,0.016684375,0.141864694,0.007631249,0.019102832,0.03842373,0.1276141,0.188064018,0.128766206,0.349455747,0.258843854,0.209990769,0.159574782,0.065664147,0.126523223,0.028725167,0.133890328,0.268067916,0.089181989,0.080591971,0.112808142,0.353249429,0.006991047,0.026059546,1
TCGA-2F-A9KR-01,0.767368767,0.78440822,0.018309672,0.125285675,0.109054025,0.522381602,0.030071766,0.070363153,0.022909854,0.135645646,0.067340262,0.636287852,0.024523635,0.154928699,0.082369607,0.039561862,0.035038757,0.023134839,0.075728299,0.102794516,0.061202404,0.074772482,0.087730508,0.134428302,0.192366601,0.23346024,0.376969553,0.600169681,0.118349265,0.074579029,0.326937246,0.151696438,0.095280213,0.165919115,0.386604594,0.121471757,0.179283867,0.117167548,0.316921794,0.367995806,0.260405027,0.163440917,1
TCGA-2F-A9KT-01,0.769199818,0.715700484,0.032320625,0.659921808,0.131247982,0.563483374,0.275140488,0.033549471,0.134909926,0.258365013,0.398963674,0.31074087,0.103228089,0.538536179,0.175909279,0.07777857,0.255960523,0.053259143,0.071224149,0.637445032,0.283709859,0.04147016,0.133965642,0.2108999,0.147483207,0.78525609,0.938048846,0.932707419,0.482682678,0.367637783,0.511176721,0.539221239,0.389864499,0.399900759,0.440443229,0.746073813,0.490558301,0.629821313,0.464862077,0.432971157,0.442464359,0.321336231,2
TCGA-2F-A9KW-01,0.963606636,0.463534281,0.384597645,0.641805833,0.136330659,0.908132373,0.158890268,0.052692469,0.038774629,0.50269971,0.10972202,0.040617336,0.057785247,0.467287518,0.201640773,0.321406817,0.098799124,0.067427305,0.115079205,0.588222417,0.641474037,0.039538153,0.55117401,0.159575965,0.333351235,0.803438784,0.945269971,0.915010281,0.402448305,0.888039108,0.368566868,0.76818549,0.634259541,0.520013795,0.266498582,0.294488772,0.66179733,0.767100314,0.632696841,0.674392484,0.145227572,0.254299823,1
TCGA-4Z-AA7M-01,0.79168715,0.64597469,0.04030689,0.216962374,0.114442074,0.396780453,0.080116376,0.126455454,0.020142726,0.153439909,0.048952919,0.163816452,0.15237721,0.651869389,0.140562203,0.333123903,0.062140155,0.04545614,0.078751958,0.314974308,0.412799481,0.046721096,0.25794562,0.257577623,0.044145918,0.530182209,0.895069105,0.790318819,0.328114619,0.184186387,0.236239327,0.561233744,0.280489115,0.301826681,0.288249212,0.367520256,0.753256407,0.446229334,0.27947351,0.363817873,0.166533249,0.15035025,2
TCGA-4Z-AA7N-01,0.971209691,0.781314905,0.121823064,0.447818355,0.24701761,0.680068663,0.27545322,0.065359231,0.411737495,0.321171169,0.221970397,0.317309787,0.371514545,0.216665248,0.624622875,0.579561562,0.453115534,0.333611177,0.092193659,0.573280249,0.502405113,0.101910481,0.391813908,0.588602977,0.324764824,0.618383169,0.917594352,0.777442092,0.535468901,0.614617877,0.549073675,0.933617801,0.615382538,0.539684476,0.536205485,0.798530471,0.750226599,0.601832161,0.788479625,0.379370489,0.772355195,0.502557973,1
TCGA-4Z-AA7O-01,0.922282963,0.869116369,0.04022825,0.315247676,0.157510902,0.829606434,0.11130623,0.042577812,0.046836103,0.122230604,0.526953254,0.545050332,0.15786751,0.059039068,0.101877513,0.302861072,0.076794477,0.129275464,0.019676439,0.168840068,0.239244219,0.040135996,0.317350022,0.190987861,0.119204617,0.546129143,0.721912572,0.465879931,0.219178258,0.116517026,0.286357537,0.12086356,0.164808985,0.16067102,0.128965347,0.470573401,0.227007745,0.164769016,0.502890983,0.281773216,0.399188133,0.165357856,1
TCGA-4Z-AA7Q-01,0.606773593,0.681842096,0.36473668,0.465450735,0.366524173,0.605993723,0.226862092,0.250250202,0.453322639,0.202247509,0.167982058,0.275027653,0.500691412,0.15327024,0.450812351,0.453063864,0.326204185,0.210285302,0.174780338,0.684836653,0.481341213,0.160423486,0.531730407,0.570978696,0.58085502,0.742146894,0.903349769,0.874197305,0.67298126,0.730269934,0.456395658,0.542532106,0.677040678,0.447561254,0.616226026,0.928204129,0.807357633,0.60241276,0.79421051,0.436262451,0.519958015,0.413523921,1
TCGA-4Z-AA7R-01,0,0.403276243,0.01164789,0.845913945,0.036620493,0.065821609,0.071183062,0.114688171,0.013379152,0.238867905,0.405060333,0.010455766,0.033198476,0.848823166,0.075713923,0.241797298,0.202221986,0.263250322,0.029677159,0.641662228,0.483753144,0.009202212,0.819717767,0.079264602,0.767048543,0.691773273,0.520411298,0.853827683,0.073281825,0.316390507,0.232216412,0.023572325,0.342203192,0.252001907,0.041702648,0.233809993,0.466970379,0.174593407,0.125989542,0.367995122,0.361875514,0.302562736,2
TCGA-4Z-AA7S-01,0.983530938,0.844794279,0.037726244,0.827212689,0.135503647,0.953166474,0.1002414,0.084787959,0.049304519,0.342020853,0.6417554,0.720638464,0.011518342,0.076863877,0.129477387,0.008340157,0.02649563,0.034967923,0.430047748,0.25719292,0.394882806,0.08334515,0.54831055,0.084080448,0.338322186,0.625452195,0.565396177,0.459727791,0.29370912,0.230780017,0.252438091,0.054433779,0.178722561,0.225276455,0.121659618,0.39311373,0.153763512,0.12693188,0.327539336,0.581183655,0.030025561,0.050916858,1
TCGA-4Z-AA7W-01,0.978003728,0.754283698,0.169315426,0.619533302,0.54910406,0.811014899,0.237885043,0.075635286,0.233679571,0.416463373,0.161807215,0.531013945,0.923108307,0.088384001,0.536238486,0.644362471,0.282731994,0.27300386,0.095541188,0.583058133,0.5702339,0.064821728,0.69456827,0.946066621,0.313305385,0.901989409,0.923614529,0.903468236,0.636997748,0.866573103,0.568130852,0.640830725,0.779891912,0.632794896,0.391422077,0.951582127,0.894510304,0.643326241,0.883024634,0.42750946,0.634399931,0.531673353,2
TCGA-4Z-AA7Y-01,0.957622616,0.349745285,0.071430453,0.751815665,0.039189222,0.912451967,0.051606589,0.065117748,0.160232102,0.202938508,0.020313672,0.861520366,0.022490217,0.017069904,0.114324695,0.138758061,0.025498506,0.021327466,0.071961455,0.179487826,0.232344165,0.008902357,0.236061347,0.018211425,0.119167459,0.464052174,0.185800813,0.224569906,0.284812842,0.042888472,0.120798245,0.092381138,0.183848408,0.281281981,0.094955796,0.609332044,0.060917557,0.069245611,0.118650069,0.151684391,0.03134389,0.088370226,1
TCGA-4Z-AA80-01,0.482784194,0.476223169,0.118666813,0.689329631,0.172017485,0.212509922,0.168445059,0.06376762,0.050186926,0.204324356,0.073333598,0.205583614,0.251014268,0.360789784,0.456504116,0.247024847,0.118929544,0.144306262,0.044261856,0.490490534,0.268170693,0.042489788,0.58299787,0.222594988,0.155721568,0.658750419,0.826084819,0.69329073,0.398521137,0.42086016,0.454754226,0.276443708,0.404855323,0.347780392,0.292139888,0.527850378,0.339052958,0.455367448,0.397150111,0.391180598,0.297331117,0.149504242,2
TCGA-4Z-AA81-01,0.806432427,0.825960593,0.057948658,0.669524961,0.219365696,0.543230351,0.207922116,0.1068112,0.097512251,0.199680596,0.27864304,0.681307817,0.330874438,0.641455781,0.344362602,0.255488482,0.143946856,0.146531564,0.048815708,0.65277872,0.364166535,0.172723,0.363088969,0.993157648,0.129517296,0.846117176,0.64184485,0.898870702,0.362816805,0.623072278,0.310505763,0.270030336,0.335576403,0.353099022,0.449379336,0.888853515,0.477815711,0.438942406,0.350738454,0.363511043,0.32776088,0.359731638,1
TCGA-4Z-AA82-01,0.960129212,0.901311079,0.427063252,0.645855089,0.047376265,0.733669578,0.219981431,0.433600062,0.154169331,0.123191719,0.024445299,0.777251042,0.113422433,0.31127383,0.153257484,0.668087487,0.308599103,0.116417643,0.113906868,0.749452288,0.44158075,0.020910183,0.749655084,0.273905725,0.354189031,0.786924414,0.917876523,0.902904493,0.279455063,0.829653903,0.271013776,0.271096921,0.720397761,0.469816329,0.517923979,0.81495021,0.435055998,0.318131494,0.852272827,0.706526654,0.153749592,0.176461497,1
TCGA-4Z-AA83-01,0.978949631,0.691647392,0.079422903,0.747741486,0.35556766,0.926689261,0.126380698,0.121567033,0.022187475,0.796499935,0.179905345,0.571398744,0.125276802,0.161017786,0.162786207,0.054648653,0.061925057,0.306209913,0.328880117,0.435574833,0.223043863,0.088399212,0.473058857,0.108117478,0.029327649,0.705214147,0.475826862,0.460898991,0.181725967,0.118133035,0.289283576,0.174081309,0.202265981,0.224685265,0.274250104,0.794884306,0.078302028,0.539160061,0.375902896,0.303713044,0.074028821,0.131700271,1
